level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	9	1	9	4	300	359	35	10	93.316391	47300
5	1	9	1	9	5	339	359	35	11	49.499123	Cadiz,
5	1	9	1	9	6	378	359	32	10	89.434578	Cadiz
4	1	9	1	10	0	68	406	620	17	-1	
5	1	9	1	10	1	68	409	48	14	91.943451	CANT.
5	1	9	1	10	2	133	406	114	17	91.943451	DESCRIPCION
5	1	9	1	10	3	503	410	61	13	95.721710	PRECIO
5	1	9	1	10	4	616	410	72	13	91.058609	IMPORTE
4	1	9	1	11	0	481	428	83	13	-1	
5	1	9	1	11	1	481	428	83	13	90.577667	UNITARIO
4	1	9	1	12	0	67	453	622	32	-1	
5	1	9	1	12	1	67	465	4	9	93.569344	1
5	1	9	1	12	2	132	465	26	10	80.802917	Talla
5	1	9	1	12	3	163	465	48	12	44.731857	pequefia
5	1	9	1	12	4	215	465	24	12	44.546696	traje
5	1	9	1	12	5	243	465	14	10	93.232422	de
5	1	9	1	12	6	261	465	29	10	82.932220	luces
5	1	9	1	12	7	293	467	14	8	95.874084	en
5	1	9	1	12	8	311	465	21	12	80.500420	rojo
5	1	9	1	12	9	527	453	37	32	64.060028	400.00
5	1	9	1	12	10	652	465	37	10	72.757881	100.00
4	1	9	1	13	0	66	499	623	12	-1	
5	1	9	1	13	1	66	499	6	9	96.596100	2
5	1	9	1	13	2	132	499	19	10	89.679909	Mui
5	1	9	1	13	3	156	499	38	12	93.003479	grande
5	1	9	1	13	4	198	499	52	10	44.990269	churroito
5	1	9	1	13	5	533	499	31	10	84.657547	25.00
5	1	9	1	13	6	658	499	31	10	94.104820	50.00
4	1	9	1	14	0	66	532	623	13	-1	
5	1	9	1	14	1	66	533	6	9	96.433350	3
5	1	9	1	14	2	132	533	48	12	88.009483	Equipaje
5	1	9	1	14	3	184	533	14	10	93.296967	de
5	1	9	1	14	4	202	532	34	11	40.119156	Fatbol
5	1	9	1	14	5	540	533	24	10	87.294647	5.00
5	1	9	1	14	6	659	533	30	10	74.947098	15.00
4	1	9	1	15	0	506	576	184	32	-1	
5	1	9	1	15	1	506	576	45	32	93.830276	Subtotal
5	1	9	1	15	2	653	588	37	10	67.411438	166.00
4	1	9	1	16	0	493	617	198	10	-1	
5	1	9	1	16	1	493	617	19	10	0.000000	VA
5	1	9	1	16	2	516	617	35	10	0.000000	21.0%
5	1	9	1	16	3	660	617	31	10	82.586525	34.65
2	1	10	0	0	0	61	662	628	24	-1	
3	1	10	1	0	0	61	662	628	24	-1	
4	1	10	1	1	0	61	662	628	24	-1	
5	1	10	1	1	1	61	662	95	24	96.155663	TOTAL
5	1	10	1	1	2	586	662	80	24	90.144279	199.65
5	1	10	1	1	3	674	662	15	24	93.180771	€
2	1	11	0	0	0	55	880	285	14	-1	
3	1	11	1	0	0	55	880	285	14	-1	
4	1	11	1	1	0	55	880	285	14	-1	
5	1	11	1	1	1	55	880	115	14	93.293793	CONDICIONES
5	1	11	1	1	2	182	880	10	13	93.238106	Y
5	1	11	1	1	3	205	880	50	14	96.281502	FORMA
5	1	11	1	1	4	267	880	19	14	96.188637	DE
5	1	11	1	1	5	300	880	40	14	96.892830	PAGO
2	1	12	0	0	0	55	924	242	13	-1	
3	1	12	1	0	0	55	924	242	13	-1	
4	1	12	1	1	0	55	924	242	13	-1	
5	1	12	1	1	1	55	924	10	10	61.704655	El
5	1	12	1	1	2	70	927	27	10	92.751312	pago
5	1	12	1	1	3	101	927	13	7	96.460014	se
5	1	12	1	1	4	118	924	47	10	66.405106	realizaré
5	1	12	1	1	5	170	927	13	7	96.905075	en
5	1	12	1	1	6	187	927	13	7	88.619759	un
5	1	12	1	1	7	205	924	29	12	88.619759	plazo
5	1	12	1	1	8	238	924	14	10	96.950912	de
5	1	12	1	1	9	257	924	12	10	93.358788	15
5	1	12	1	1	10	273	924	24	10	58.198555	dias
2	1	13	0	0	0	55	960	164	47	-1	
3	1	13	1	0	0	55	960	164	47	-1	
4	1	13	1	1	0	55	960	97	10	-1	
5	1	13	1	1	1	55	961	35	9	96.438660	Banco
5	1	13	1	1	2	94	960	58	10	94.432739	Santander
4	1	13	1	2	0	55	979	128	10	-1	
5	1	13	1	2	1	55	979	32	9	92.536728	IBAN:
5	1	13	1	2	2	92	979	29	10	85.738914	ES12
5	1	13	1	2	3	126	979	27	10	95.216949	3456
5	1	13	1	2	4	157	979	26	10	96.416222	7891
4	1	13	1	3	0	55	997	164	10	-1	
5	1	13	1	3	1	55	997	66	10	44.094013	‘SWIFT/BIC:
5	1	13	1	3	2	125	997	94	10	83.277428	ABCDESM1XXX
